Type,Arrival Date,Main Cabin Seats,Flight Number,Destination Code,Origin Airport,Miner Points,Origin Code,Business Class Price,Main Cabin Price,Departing Time,Duration,Surcharge,Origin Airport Lounge,Distance,Time Zone Difference,Arrival Time,Departing Date,Origin Airport State,Origin Airport Country,Origin Airport Fee,Destination Airport City,Food Served,Destination Airport State,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Route Cost,Total Seats,ID,First Class Seats,Destination Airport,Business Class Seats,Origin Airport City,First Class Price,First Class Seats Sold,Business Class Seats Sold,Main Cabin Seats Sold, Total First Class Revenue,Total Business Class Revenue,Total Main Cabin Revenue
Domestic,3/23/2023,85,2311,DFW,El Paso International Airport,1102,ELP,1153,295,5:30 AM,94,0,FALSE,551,1,8:04 AM,3/23/2023,Texas,United States,3.5,Dallas,FALSE,Texas,United States,3,TRUE,11686,158,1,10,Dallas/Ft. Worth International Airport,63,El Paso,2052,-5,11,110,199822.30125000002,228470.07768750004,56532.35231249996
Domestic,3/23/2023,90,2344,ELP,Dallas/Ft. Worth International Airport,1102,DFW,1066,339,5:30 AM,94,0,TRUE,551,-1,6:04 AM,3/23/2023,Texas,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,19082,145,4,14,El Paso International Airport,41,Dallas,2189,-1,20,98,213606.6760000001,103332.90575000006,98484.35225
Domestic,3/23/2023,100,2377,LAX,El Paso International Airport,1428,ELP,689,382,5:30 AM,113,0,FALSE,714,-1,6:23 AM,3/23/2023,Texas,United States,3.5,Los Angeles,FALSE,California,United States,4,TRUE,14000,152,7,9,Los Angeles International Airport,43,El Paso,1342,0,4,60,81202.83024999998,129271.00274999997,60732.16624999999
Domestic,3/23/2023,97,23110,ELP,Los Angeles International Airport,1428,LAX,826,165,5:30 AM,113,0,TRUE,714,1,8:23 AM,3/23/2023,California,United States,4,El Paso,FALSE,Texas,United States,3.5,FALSE,10513,156,10,9,El Paso International Airport,50,Los Angeles,1223,0,12,73,253580.099375,141687.94437500002,57081.66131250003
Domestic,3/23/2023,91,23413,ORD,El Paso International Airport,2470,ELP,707,214,5:30 AM,176,0,FALSE,1235,1,9:26 AM,3/23/2023,Texas,United States,3.5,Chicago,FALSE,Illinois,United States,4.5,TRUE,10706,167,13,14,Chicago International Airport,62,El Paso,1810,0,0,62,168286.05224999992,190533.16506249993,69942.49237500002
Domestic,3/23/2023,88,23716,ELP,Chicago International Airport,2470,ORD,906,527,5:30 AM,176,0,TRUE,1235,-1,7:26 AM,3/23/2023,Illinois,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,19778,148,16,8,El Paso International Airport,52,Chicago,1405,0,3,93,288501.33074999996,99334.53675000003,39502.564
Domestic,3/23/2023,95,23119,ATL,El Paso International Airport,2560,ELP,698,508,5:30 AM,181,0,FALSE,1280,2,10:31 AM,3/23/2023,Texas,United States,3.5,Atlanta,FALSE,Georgia,United States,4.5,TRUE,11291,167,19,14,Hartsfield-Jackson Atlanta International Airport,58,El Paso,1924,0,8,71,173973.39875,154102.70975,37106.857
Domestic,3/23/2023,98,23422,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,555,396,5:30 AM,181,0,TRUE,1280,-2,6:31 AM,3/23/2023,Georgia,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,10990,165,22,15,El Paso International Airport,52,Atlanta,2396,-1,2,70,146612.56525,173765.9305000001,30769.978000000003
Domestic,3/23/2023,91,23725,JFK,El Paso International Airport,3806,ELP,590,284,5:30 AM,256,0,FALSE,1903,2,11:46 AM,3/23/2023,Texas,United States,3.5,New York,FALSE,New York,United States,6,TRUE,16215,151,25,12,John F. Kennedy International Airport,48,El Paso,3007,1,8,73,304490.78674999997,123006.87250000003,28485.85362499999
Domestic,3/23/2023,85,23128,ELP,John F. Kennedy International Airport,3806,JFK,849,448,5:30 AM,256,0,TRUE,1903,-2,7:46 AM,3/23/2023,New York,United States,6,El Paso,FALSE,Texas,United States,3.5,FALSE,12213,154,28,11,El Paso International Airport,58,New York,1254,-4,8,77,142844.108,147437.51725,15245.840312500002
Domestic,3/23/2023,92,23431,BOS,El Paso International Airport,4128,ELP,914,419,5:30 AM,275,0,FALSE,2064,2,12:05 PM,3/23/2023,Texas,United States,3.5,Boston,FALSE,Massachusetts,United States,3,TRUE,11994,155,31,14,Boston Logan International Airport,49,El Paso,2866,-6,1,73,169117.14712500002,90233.046,57898.99625000002
Domestic,3/23/2023,104,23734,ELP,Logan International Airport,4128,BOS,1147,180,5:30 AM,275,0,TRUE,2064,2,12:05 PM,3/23/2023,Massachusetts,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,15119,162,34,14,El Paso International Airport,44,Boston,2905,0,8,86,279161.51475,117068.73874999993,27646.349249999992
Domestic,3/23/2023,98,23137,LAS,El Paso International Airport,1164,ELP,738,507,5:30 AM,97,0,FALSE,582,-1,6:07 AM,3/23/2023,Texas,United States,3.5,Las Vegas,FALSE,Nevada,United States,3.5,TRUE,17071,172,37,11,Harry Reid International Airport,63,El Paso,2739,0,9,106,93258.58599999998,108960.2540625,36249.214375
Domestic,3/23/2023,88,23440,ELP,Harry Reid International Airport,1164,LAS,620,148,5:30 AM,97,0,TRUE,582,1,8:07 AM,3/23/2023,Nevada,United States,3.5,El Paso,FALSE,Texas,United States,3.5,FALSE,16242,164,40,14,El Paso International Airport,62,Las Vegas,1898,0,24,82,163342.45224999997,167382.73143750004,26479.765562500004
International,3/23/2023,93,23743,LHR,El Paso International Airport,15444,ELP,3195,1317,5:30 AM,645,13,FALSE,5148,7,11:15 PM,3/23/2023,Texas,United States,3.5,London,TRUE,United Kingdom,England,5,TRUE,66329,144,43,8,Heathrow Airport,43,El Paso,5011,-4,0,80,221223.573125,113319.43149999999,56988.54231250001
International,3/23/2023,95,23146,ELP,Heathrow Airport,15444,LHR,2987,888,5:30 AM,645,13,FALSE,5148,-7,9:15 AM,3/23/2023,United Kingdom,England,5,El Paso,TRUE,Texas,United States,3.5,FALSE,72726,154,46,11,El Paso International Airport,48,London,8684,-5,30,60,144945.66350000002,158802.7253750001,55179.56006249999
International,3/23/2023,87,23449,MEX,Abraham Gonzalez International Airport,2871,CJS,5222,873,5:30 AM,142,3,FALSE,957,1,8:52 AM,3/23/2023,Chihuahua,Mexico,2.5,Ciudad de Mexico,TRUE,Distrito Federal,Mexico,4.5,FALSE,71871,138,49,11,Aeropuerto Internacional Benito Juarez,40,Juarez,10438,0,2,83,278635.59575,90162.89175000001,45995.60687500001
International,3/23/2023,103,23752,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,2972,1196,5:30 AM,142,3,FALSE,957,-1,6:52 AM,3/23/2023,Distrito Federal,Mexico,4.5,Juarez,TRUE,Chihuahua,Mexico,2.5,FALSE,56292,157,52,8,Abraham Gonzalez International Airport,46,Ciudad de Mexico,5162,0,0,88,166722.04125,72319.83125,118777.58675000002
Domestic,3/23/2023,96,23155,LAX,Orlando International Airport,3854,ORL,727,121,5:30 AM,281,0,TRUE,1927,-3,7:11 AM,3/23/2023,Florida,United States,5,Los Angeles,FALSE,California,United States,4,TRUE,70024,156,55,11,Los Angeles International Airport,49,Orlando,2115,0,14,74,215626.9582499999,105546.45237499996,97122.975
Domestic,3/23/2023,86,23458,ORL,Los Angeles International Airport,3854,LAX,739,485,5:30 AM,281,0,TRUE,1927,3,1:11 PM,3/23/2023,California,United States,4,Orlando,FALSE,Florida,United States,5,TRUE,71901,136,58,9,Orlando International Airport,41,Los Angeles,2768,5,4,80,173295.64249999996,164589.266,79507.32400000004
Domestic,3/23/2023,100,23761,LAX,Logan International Airport,4538,BOS,629,200,5:30 AM,326,0,TRUE,2269,-3,7:56 AM,3/23/2023,Massachusetts,United States,3,Los Angeles,TRUE,California,United States,4,TRUE,51587,166,61,13,Los Angeles International Airport,53,Boston,1341,7,7,92,219689.24437500013,145820.28118749993,90619.55500000005
Domestic,3/23/2023,102,23164,BOS,Los Angeles International Airport,4538,LAX,1050,399,5:30 AM,326,0,TRUE,2269,3,1:56 PM,3/23/2023,California,United States,4,Boston,TRUE,Massachusetts,United States,3,TRUE,51892,161,64,11,Boston Logan International Airport,48,Los Angeles,2885,0,3,78,311660.5250000001,62451.30043749999,73123.8755
International,3/23/2023,101,23467,CUN,El Paso International Airport,3687,ELP,3442,1022,5:30 AM,190,4,FALSE,1229,2,10:40 AM,3/23/2023,Texas,United States,3.5,Cancun,TRUE,Quintana Roo,Mexico,4,TRUE,76340,164,67,9,Cancun International Airport,54,El Paso,4551,3,13,78,240264.1125000001,104515.93100000004,13199.043750000003
International,3/23/2023,99,23770,ELP,Cancun International Airport,3687,CUN,3600,734,5:30 AM,190,4,TRUE,1229,-2,6:40 AM,3/23/2023,Quintana Roo,Mexico,4,El Paso,TRUE,Texas,United States,3.5,FALSE,71648,160,70,10,El Paso International Airport,51,Cancun,7643,-4,0,89,178268.67887500004,104241.43012500007,50941.385499999975
International,3/23/2023,97,23173,YYZ,El Paso International Airport,4347,ELP,5213,975,5:30 AM,219,4,FALSE,1449,2,11:09 AM,3/23/2023,Texas,United States,3.5,Toronto,TRUE,Ontario,Canada,4,TRUE,57452,154,73,11,Toronto Pearson International Airport,46,El Paso,9751,0,1,69,334720.1127500002,85635.95624999999,46396.962500000016
International,3/23/2023,102,23476,ELP,Toronto Pearson International Airport,4347,YYZ,3042,1166,5:30 AM,219,4,TRUE,1449,-2,7:09 AM,3/23/2023,Ontario,Canada,4,El Paso,TRUE,Texas,United States,3.5,FALSE,64960,177,76,11,El Paso International Airport,64,Toronto,13334,0,15,73,239288.60275000005,240600.79943750004,62378.72218750001
International,3/24/2023,102,23779,CDG,El Paso International Airport,13986,ELP,2736,1057,5:30 AM,639,12,FALSE,4662,8,12:09 AM,3/23/2023,Texas,United States,3.5,Paris,TRUE,Ill de France,France,5,TRUE,67763,167,79,13,Paris Charles de Gaulle Airport,52,El Paso,7274,0,2,84,279167.9468750001,181411.71356250005,97189.67731249997
International,3/23/2023,91,23182,ELP,Paris Charles de Gaulle Airport,13986,CDG,3361,733,5:30 AM,639,12,TRUE,4662,-8,8:09 AM,3/23/2023,Ill de France,France,5,El Paso,TRUE,Texas,United States,3.5,FALSE,54532,153,82,14,El Paso International Airport,48,Paris,10284,1,5,91,146730.2025,127182.61500000008,75764.26725
International,3/24/2023,96,23485,HND,El Paso International Airport,15966,ELP,3401,1155,5:30 AM,725,14,FALSE,5322,16,9:35 AM,3/23/2023,Texas,United States,3.5,Tokyo,TRUE,Honshu,Japan,6,TRUE,75881,153,85,10,Tokyo Haneda Airport,47,El Paso,5291,0,11,75,152533.51424999998,213824.6385625001,29376.5035
